26,governs the relationship between Java classes and database entities,M D,mapping document,
27,suffix for such an MD above,H D X,hbm.xml,
28,what a MD above should have in common with the class it specifies, S N   S D,same name & same directory,
28,a mapping document this tag specifies option information,M,meta,
31,the Ant task that gets Hibernate to generate Java code,H,hbm2java,
34,mapping document element NOT included in the generated Java code,I,id,
34,the one getter-setter method that's protected,SI,setId,
35,places to place your Hibernate connection parameters,H D P    H D C D X,hibernate.properties & hibernate.cfg.xml,
36,where to place this file,S   D,source directory,
36,the Ant task that generates the database entities,H,hbm2ddl,
36,the H above attribute that lets you recreate the entities,D,drop,
45,hibernate.cfg.xml: what to turn on for heavily-transacted databases,C,caching,
45,hibernate.cfg.xml: feature that when on increases efficiency and reduces error detail,B,batching,
45,hibernate.cfg.xml: tag and attribute to point it to the MD,M   &   R,mapping & resource,
48,object that instantiates session objects,SF,sessionFactory,
49,a Session object does this,E   A   J   C   T   T   D,establishes a JDBC connection to the database,
49,what a SessionFactory is and a Session is not,T   S,thread safe,
49,the states a bean has with respect to the database,T   P,transient persistent,
49,Session method that changes a bean from T to P,S,save,
49,Session method that changes a bean from P to T,D,delete,
55,do not depend on this to have session changes stick to the database,A-C,auto-commit,
56,like JDBC PreparedStatment's HQL supports these,P,placeholders,
57,the arguments for an HQL query,B   P,bean properties,
58,in HQL do this to class names,A   T,alias them,
59,from instantiated object,method that instantiates a Query,S.CQ,session.createQuery
59,Query method to directly update a table,EU,executeUpdate,
60,HQL named parameters are preceded by this,C,colon,
61,the two parameters for setting the named parameter,N   V,name value,
62,another place you can specify named queries,M   D,mapping document,
63,Session non-static method for retrieving a query from a mapping document,GNQ,getNamedQuery,
63,Java collection subtypes useful for handing M-1 1-M M-M relationships,B   L   S,bag list set,
64,property attribute useful for table values exposure,U-I-T,use-in-tostring,
65,if ordering isn't crucial use this collection,S,Set,
66,Query non-static method used to return a single row,UR,uniqueResult,
83,always run this non-static method at the end of each method that involves a session,S.C,session.close(),
87,a lazy association means this,A   O   A   L   U   T   A   R,associated objects aren't loaded until they are referenced,
88,in practical terms a lazy association means this,C   C   D   L   T   C   F   T   D   U   W   U   T,Collections classes don't load thier contents from the database until we use them,
90,to order a collection you need the ___ tag with the ___ attribute,L-I   C,list-index  column,
92,the two ways to specify a table in Hibernate,E S P   D A C,explicitly specifying properties  defining a collection,
92,the two types of collection above,V   A,values   associations,
92,a Hibernate entity can be queried and updated ___,I   O   O   O,independently of other objects,
96,name foreign-key columns the same as ___,T   P   K   T   W   T   R,the primary key columns to which they refer,
